instr,addr,pipe,call_count,cycles,running_time(us),detail
WAIT_FLAG_DEVI,290682868,FLOWCTRL,2,11485,6.380000,"UIMM:0x1,"
WAIT_FLAG_DEVI,290683232,FLOWCTRL,2,3736,2.080000,"UIMM:0x3,"
BAR,290682768,CUBE,8,3108,0.860000,"PIPE:CUBE"
BAR,290683216,ALL,2,2718,1.510000,"PIPE:ALL"
FIX_L0C_TO_DST,290683212,FIXP,2,2714,1.510000,"Src:L0C32,Dst:OUT,XD:X0=0x113c2600,XN:X12=0,XM:X1=0x20000402000,XT:X25=0x80000000040,id:86"
WAIT_FLAG,290683172,MTE2,2,2134,1.190000,"PIPE:MTE1,TRIGGERPIPE:MTE2,FLAGID:0,"
BAR,290683184,ALL,2,2132,1.180000,"PIPE:ALL"
WAIT_FLAG,290683180,FIXP,2,2126,1.180000,"PIPE:CUBE,TRIGGERPIPE:FIXP,FLAGID:0,"
WAIT_FLAG,290683160,MTE1,2,1922,1.070000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:0,"
BAR,290682948,ALL,2,1818,1.010000,"PIPE:ALL"
MOV_OUT_TO_L1_MULTI_ND2NZ,290682944,MTE2,2,1814,1.010000,"Src:OUT,Dst:L1,XD:X13=0x12000,XN:X1=0x11375e00,XM:X24=0x20000400010,XT:X10=0x100400200,Dtype:B16,id:76"
BAR,290682432,ALL,2,1672,0.930000,"PIPE:ALL"
MOV_OUT_TO_L1_MULTI_ND2NZ,290682428,MTE2,2,1668,0.930000,"Src:OUT,Dst:L1,XD:X5=0x10000,XN:X1=0x11355c00,XM:X24=0x20000400010,XT:X10=0x100400200,Dtype:B16,id:17"
WAIT_FLAG,290682804,MTE2,2,1290,0.720000,"PIPE:MTE1,TRIGGERPIPE:MTE2,FLAGID:0,"
BAR,290682816,ALL,2,1288,0.720000,"PIPE:ALL"
WAIT_FLAG,290682812,FIXP,2,1284,0.710000,"PIPE:CUBE,TRIGGERPIPE:FIXP,FLAGID:0,"
MMAD,290682776,CUBE,8,1192,0.660000,"dtype:F16F32XD:0x0XN:0x0XM:0x0XT:0x8000000040080040id:612"
BAR,290683148,CUBE,2,1072,0.600000,"PIPE:CUBE"
WAIT_FLAG,290683140,CUBE,2,1072,0.600000,"PIPE:MTE1,TRIGGERPIPE:CUBE,FLAGID:0,"
LOAD_2D,290683120,MTE1,2,1068,0.590000,"Src:L1,Dst:L0B,XD:X4=0xc000,XN:X3=0x12600,XM:X26=0x4200000,Dtype:B8,id:84"
MMAD,290683152,CUBE,2,1066,0.590000,"dtype:F16F32XD:0x0XN:0x0XM:0x0XT:0x8000000200040040id:1055"
SET_FLAG,290683132,MTE1,2,852,0.470000,"PIPE:MTE1,TRIGGERPIPE:CUBE,FLAGID:0,"
LOAD_2D,290682740,MTE1,8,840,0.470000,"Src:L1,Dst:L0B,XD:X0=0x3000,XN:X7=0x13000,XM:X18=0x1040000,Dtype:B8,id:28"
LOAD_2D,290682744,MTE1,8,840,0.470000,"Src:L1,Dst:L0B,XD:X1=0x3800,XN:X10=0x13800,XM:X18=0x1040000,Dtype:B8,id:29"
BAR,290682184,ALL,1,838,0.470000,"PIPE:ALL"
MOV_OUT_TO_L1_MULTI_ND2NZ,290682180,MTE2,1,837,0.470000,"Src:OUT,Dst:L1,XD:X9=0,XN:X2=0x11335a00,XM:X24=0x20000400010,XT:X10=0x100400200,Dtype:B16,id:16"
LOAD_2D,290683104,MTE1,2,830,0.460000,"Src:L1,Dst:L0B,XD:X3=0x8000,XN:X5=0x12400,XM:X26=0x4200000,Dtype:B8,id:83"
LOAD_2D,290682704,MTE1,8,800,0.440000,"Src:L1,Dst:L0B,XD:X0=0x2800,XN:X7=0x12800,XM:X18=0x1040000,Dtype:B8,id:27"
LOAD_2D,290682600,MTE1,8,798,0.440000,"Src:L1,Dst:L0A,XD:X7=0x3000,XN:X0=0x600,XM:X14=0x4080000,Dtype:B8,id:21"
WAIT_FLAG,290682756,CUBE,8,778,0.430000,"PIPE:MTE1,TRIGGERPIPE:CUBE,FLAGID:0,"
BAR,290682856,ALL,2,756,0.420000,"PIPE:ALL"
FIX_L0C_TO_DST,290682852,FIXP,2,752,0.420000,"Src:L0C32,Dst:OUT,XD:X1=0x113b6200,XN:X12=0,XM:X2=0x4000400400,XT:X25=0x80000000040,id:67"
LOAD_2D,290682700,MTE1,8,744,0.410000,"Src:L1,Dst:L0B,XD:X25=0x2000,XN:X29=0x12000,XM:X18=0x1040000,Dtype:B8,id:26"
LOAD_2D,290682620,MTE1,8,730,0.410000,"Src:L1,Dst:L0B,XD:X24=0,XN:X25=0x10000,XM:X18=0x1040000,Dtype:B8,id:22"
MOV_OUT_TO_L1_MULTI_ND2NZ,290682912,MTE2,2,714,0.400000,"Src:OUT,Dst:L1,XD:X5=0x10000,XN:X2=0x113be400,XM:X4=0x4000400010,XT:X3=0x100400040,Dtype:B16,id:75"
SET_FLAG,290682752,MTE1,8,712,0.400000,"PIPE:MTE1,TRIGGERPIPE:CUBE,FLAGID:0,"
LOAD_2D,290682580,MTE1,8,706,0.390000,"Src:L1,Dst:L0A,XD:X31=0x2000,XN:X29=0x400,XM:X14=0x4080000,Dtype:B8,id:20"
LOAD_2D,290682640,MTE1,8,704,0.390000,"Src:L1,Dst:L0B,XD:X0=0x800,XN:X7=0x10800,XM:X18=0x1040000,Dtype:B8,id:23"
LOAD_2D,290682660,MTE1,8,696,0.390000,"Src:L1,Dst:L0B,XD:X25=0x1000,XN:X29=0x11000,XM:X18=0x1040000,Dtype:B8,id:24"
LOAD_2D,290682680,MTE1,8,688,0.380000,"Src:L1,Dst:L0B,XD:X0=0x1800,XN:X7=0x11800,XM:X18=0x1040000,Dtype:B8,id:25"
LOAD_2D,290682560,MTE1,8,618,0.340000,"Src:L1,Dst:L0A,XD:X10=0x1000,XN:X7=0x200,XM:X14=0x4080000,Dtype:B8,id:19"
