instr,addr,pipe,call_count,cycles,running_time(us),detail
WAIT_FLAG_DEVI,290686212,FLOWCTRL,2,6870,3.820000,"UIMM:0x2,"
WAIT_FLAG_DEVI,290685504,FLOWCTRL,2,4622,2.570000,"UIMM:0,"
BAR,290686240,ALL,2,2616,1.450000,"PIPE:ALL"
MOV_SRC_TO_DST_ALIGN,290686236,MTE2,2,2612,1.450000,"Src:OUT,Dst:UB,XD:X2=0x18280,XN:X16=0x113e2600,XM:X8=0x8000200,XT:X0=0,Dtype:B32,id:88"
BAR,290686108,ALL,64,1984,1.100000,"PIPE:ALL"
VMULS,290686084,VECTOR,64,1920,1.070000,"XD:X10=0,XN:X10=0,XM:X8=0,XT:X24=0x100080800010001,Dtype:F32,Id:4002"
MOVEMASK,290686100,VECTOR,64,1856,1.030000,"XN:X14=0xffffffffffffffff,Pos:1,Id:4006"
MOVEMASK,290686104,VECTOR,64,1856,1.030000,"XN:X14=0xffffffffffffffff,Pos:0,Id:4007"
BAR,290685820,ALL,64,1472,0.820000,"PIPE:ALL"
VADDS,290685796,VECTOR,64,1408,0.780000,"XD:X11=0x10200,XN:X11=0x10200,XM:X8=0x80000000,XT:X24=0x100080800010001,Dtype:F32,Id:1543"
MOVEMASK,290685812,VECTOR,64,1344,0.750000,"XN:X14=0xffffffffffffffff,Pos:1,Id:1547"
MOVEMASK,290685816,VECTOR,64,1344,0.750000,"XN:X14=0xffffffffffffffff,Pos:0,Id:1548"
BAR,290686280,ALL,2,1066,0.590000,"PIPE:ALL"
VADD,290686256,VECTOR,2,1066,0.590000,"XD:X5=0,XN:X5=0,XM:X2=0x18280,XT:X23=0x100080808010101,Dtype:F32,Id:6281"
MOVEMASK,290686272,VECTOR,2,1062,0.590000,"XN:X14=0xffffffffffffffff,Pos:1,Id:6285"
MOVEMASK,290686276,VECTOR,2,1062,0.590000,"XN:X14=0xffffffffffffffff,Pos:0,Id:6286"
MOVEMASK,290686080,VECTOR,64,1024,0.570000,"XN:X17=0x200,Pos:0,Id:4001"
MOVEMASK,290686076,VECTOR,64,1024,0.570000,"XN:X7=0,Pos:1,Id:4000"
MOVEMASK,290685792,VECTOR,64,1024,0.570000,"XN:X31=0x40,Pos:0,Id:1542"
MOVEMASK,290685788,VECTOR,64,1024,0.570000,"XN:X7=0,Pos:1,Id:1541"
BAR,290686508,ALL,32,960,0.530000,"PIPE:ALL"
VMULS,290686484,VECTOR,32,960,0.530000,"XD:X12=0,XN:X12=0,XM:X11=0x3c000000,XT:X7=0x100080800010001,Dtype:F32,Id:11218"
MOVEMASK,290686500,VECTOR,32,896,0.500000,"XN:X8=0xffffffffffffffff,Pos:1,Id:11222"
MOVEMASK,290686504,VECTOR,32,896,0.500000,"XN:X8=0xffffffffffffffff,Pos:0,Id:11223"
BAR,290685516,ALL,2,818,0.450000,"PIPE:ALL"
MOV_SRC_TO_DST_ALIGN,290685512,MTE2,2,814,0.450000,"Src:OUT,Dst:UB,XD:X21=0x12280,XN:X15=0x113ba200,XM:X8=0x1000200,XT:X7=0,Dtype:B32,id:69"
LD_XD_XN_IMM,290685740,SCALAR,64,768,0.430000,"dtype:B32,XD:X8=0,XN:X8=0x90080,IMM:0,"
LD_XD_XN,290686032,SCALAR,64,768,0.430000,"dtype:B32,XD:X8=0,XN:X8=0x12200,XM:X22=0x20000,#POST:0,"
MOV_SRC_TO_DST_ALIGN,290686644,MTE3,1,736,0.410000,"Src:UB,Dst:OUT,XD:X1=0x113a6000,XN:X2=0x18280,XM:X3=0x4000200,XT:X0=0,Dtype:B16,id:163"
SET_FLAG,290685748,SCALAR,64,704,0.390000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:7,"
SET_FLAG,290686040,SCALAR,64,704,0.390000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:7,"
BAR,290686200,ALL,2,529,0.290000,"PIPE:ALL"
MOV_SRC_TO_DST_ALIGN,290686196,MTE3,2,525,0.290000,"Src:UB,Dst:OUT,XD:X3=0x113c0400,XN:X2=0x18280,XM:X8=0x800200,XT:X0=0,Dtype:B16,id:72"
BAR,290685920,VECTOR,2,520,0.290000,"PIPE:VEC"
BAR,290685924,ALL,2,520,0.290000,"PIPE:ALL"
VCADD,290685916,VECTOR,2,518,0.290000,"XD:X2=0x18280,XN:X25=0x10200,XT:X0=0x2000000800010001,Dtype:F32,Id:3960"
MOVEMASK,290686480,VECTOR,32,512,0.280000,"XN:X4=0x200,Pos:0,Id:11217"
MOVEMASK,290686448,VECTOR,32,512,0.280000,"XN:X1=0,Pos:1,Id:11209"
DIV,290686452,SCALAR,32,448,0.250000,"dtype:F32,XD:X11=0x3c000000,XN:X3=0x3f800000,XM:X11=0x43000000,"
LD_XD_XN_IMM,290684104,SCALAR,1,391,0.220000,"dtype:B64,XD:X0=0,XN:X0=0x11539040,IMM:0,"
LDP_XI_XJ_XN,290684100,SCALAR,1,388,0.220000,"dtype:B64,XI:X1=0,XJ:X4=0,XN:X1=0x1022fe00,IMM:0x18,"
LDP_XI_XJ_XN,290684108,SCALAR,1,387,0.220000,"dtype:B64,XI:X3=0,XJ:X2=0,XN:X2=0x1022fe28,IMM:0,"
SET_FLAG,290686460,SCALAR,32,384,0.210000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:7,"
LD_XD_XN,290686428,SCALAR,32,384,0.210000,"dtype:B32,XD:X11=0,XN:X11=0x10000,XM:X22=0x20000,#POST:0,"
SUB,290685764,SCALAR,64,320,0.180000,"dtype:F32,XD:X8=0x80000000,XN:X1=0x80000000,XM:X8=0,"
BAR,290685480,ALL,2,310,0.170000,"PIPE:ALL"
STI_XN_IMM,290684172,SCALAR,1,299,0.170000,"dtype:B32,XN:X30=0x1d8240,IMM:0x8f0,#POST:0,#IMM_TYPE:ZERO,"
BAR,290685264,ALL,1,298,0.170000,"PIPE:ALL"
STP_XI_XJ_XN,290684224,SCALAR,1,292,0.160000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X0=0x1d7b20,IMM:0,"
STP_XI_XJ_XN,290684216,SCALAR,1,292,0.160000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X1=0x1d7b00,IMM:0,"
STP_XI_XJ_XN,290684220,SCALAR,1,292,0.160000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X0=0x1d7b20,IMM:0x30,"
STI_XN_IMM,290684336,SCALAR,1,291,0.160000,"dtype:B32,XN:X30=0x1d8240,IMM:0x924,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,290684340,SCALAR,1,291,0.160000,"dtype:B64,XD:X1=0x2000000010000,XN:X30=0x1d8240,IMM:0x900,"
STI_XN_IMM,290684344,SCALAR,1,291,0.160000,"dtype:B8,XN:X30=0x1d8240,IMM:0x930,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,290684176,SCALAR,1,290,0.160000,"dtype:B64,XN:X30=0x1d8240,IMM:0x908,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,290685312,SCALAR,1,290,0.160000,"dtype:B64,XD:X1=0x8000,XN:X30=0x1d8240,IMM:0x878,"
ST_XD_XN_IMM,290684152,SCALAR,1,290,0.160000,"dtype:B32,XD:X0=0x7ff80,XN:X30=0x1d8240,IMM:0xd38,"
ST_XD_XN_IMM,290684252,SCALAR,1,289,0.160000,"dtype:B64,XD:X1=0x1d7ac8,XN:X0=0x1d0008,IMM:0,"
BAR,290685228,VECTOR,1,284,0.160000,"PIPE:VEC"
ST_XD_XN_IMM,290684112,SCALAR,1,277,0.150000,"dtype:B64,XD:X1=0x11396000,XN:X30=0x1d8240,IMM:0x880,"
ST_XD_XN_IMM,290684296,SCALAR,1,277,0.150000,"dtype:B32,XD:X1=0x10000,XN:X30=0x1d8240,IMM:0x8fc,"
STI_XN_IMM,290684248,SCALAR,1,273,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0xd10,#POST:0,#IMM_TYPE:ALL_ONE,"
MOVEV,290685184,VECTOR,1,271,0.150000,"XD:X5=0,XN:X0=0,XT:X9=0x100000800010001,Dtype:B32,Id:1390"
STI_XN_IMM,290684280,SCALAR,1,270,0.150000,"dtype:B8,XN:X30=0x1d8240,IMM:0x910,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,290684384,SCALAR,1,270,0.150000,"dtype:B8,XN:X30=0x1d8240,IMM:0x940,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,290684292,SCALAR,1,270,0.150000,"dtype:B64,XD:X0=0xffffffff00010000,XN:X30=0x1d8240,IMM:0x918,"
STI_XN_IMM,290684288,SCALAR,1,270,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0x914,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,290684284,SCALAR,1,270,0.150000,"dtype:B16,XN:X30=0x1d8240,IMM:0x912,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,290684388,SCALAR,1,270,0.150000,"dtype:B16,XN:X30=0x1d8240,IMM:0x942,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,290684392,SCALAR,1,270,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0x944,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,290684396,SCALAR,1,270,0.150000,"dtype:B64,XD:X0=0xffffffff00020000,XN:X30=0x1d8240,IMM:0x948,"
STI_XN_IMM,290684400,SCALAR,1,270,0.150000,"dtype:B8,XN:X30=0x1d8240,IMM:0x950,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,290684404,SCALAR,1,270,0.150000,"dtype:B16,XN:X30=0x1d8240,IMM:0x952,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,290684276,SCALAR,1,269,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0xd14,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,290684272,SCALAR,1,269,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0xd18,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,290684300,SCALAR,1,269,0.150000,"dtype:B8,XN:X30=0x1d8240,IMM:0x920,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,290684304,SCALAR,1,269,0.150000,"dtype:B16,XN:X30=0x1d8240,IMM:0x922,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,290684312,SCALAR,1,269,0.150000,"dtype:B64,XD:X0=0xffffffff00010000,XN:X30=0x1d8240,IMM:0x928,"
BAR,290685216,VECTOR,1,268,0.150000,"PIPE:VEC"
ST_XD_XN_IMM,290684428,SCALAR,1,267,0.150000,"dtype:B64,XD:X0=0xffffffff0002ff00,XN:X30=0x1d8240,IMM:0x958,"
STI_XN_IMM,290684436,SCALAR,1,266,0.150000,"dtype:B32,XN:X30=0x1d8240,IMM:0x954,#POST:0,#IMM_TYPE:ZERO,"
BAR,290685596,ALL,2,264,0.150000,"PIPE:ALL"
STP_XI_XJ_XN,290684184,SCALAR,1,262,0.150000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X0=0x1d7ae0,IMM:0x30,"
STI_XN_IMM,290684180,SCALAR,1,262,0.150000,"dtype:B64,XN:X30=0x1d8240,IMM:0x888,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,290684188,SCALAR,1,262,0.150000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X0=0x1d7ae0,IMM:0,"
STP_XI_XJ_XN,290684212,SCALAR,1,260,0.140000,"dtype:B64,XI:X5=0,XJ:X5=0,XN:X1=0x1d7b00,IMM:0x30,"
BAR,290686456,VECTOR,32,224,0.120000,"PIPE:VEC"
BAR,290685584,VECTOR,2,214,0.120000,"PIPE:VEC"
BAR,290685876,ALL,2,186,0.100000,"PIPE:ALL"
VEXP,290685872,VECTOR,2,182,0.100000,"XD:X25=0x10200,XN:X25=0x10200,XT:X24=0x100080800010001,Dtype:F32,Id:3949"
BAR,290685540,ALL,2,174,0.100000,"PIPE:ALL"
VADD,290685536,VECTOR,2,170,0.090000,"XD:X25=0x10200,XN:X25=0x10200,XM:X21=0x12280,XT:X23=0x100080808010101,Dtype:F32,Id:1478"
BAR,290685016,ALL,1,163,0.090000,"PIPE:ALL"
VCONV,290686576,VECTOR,1,147,0.080000,"XD:X2=0x18280,XN:X5=0,XT:X1=0x100080400010001,Conv_type:F32_F16R,Id:13388"
BAR,290686608,ALL,1,146,0.080000,"PIPE:ALL"
MOVEMASK,290686604,VECTOR,1,144,0.080000,"XN:X1=0xffffffffffffffff,Pos:0,Id:13395"
MOVEMASK,290686600,VECTOR,1,144,0.080000,"XN:X1=0xffffffffffffffff,Pos:1,Id:13394"
BAR,290685560,ALL,2,114,0.060000,"PIPE:ALL"
VMULS,290685556,VECTOR,2,110,0.060000,"XD:X25=0x10200,XN:X25=0x10200,XM:X8=0x3d3504f2,XT:X24=0x100080800010001,Dtype:F32,Id:1483"
VCGMAX,290685580,VECTOR,2,108,0.060000,"XD:X26=0x28280,XN:X26=0x28280,XT:X9=0x100000800010001,Dtype:F32,Id:1489"
VADDS,290685568,VECTOR,2,106,0.060000,"XD:X26=0x28280,XN:X25=0x10200,XM:X0=0,XT:X24=0x100080800010001,Dtype:F32,Id:1486"
BAR,290685576,VECTOR,2,106,0.060000,"PIPE:VEC"
MOVEV,290685464,VECTOR,2,94,0.050000,"XD:X25=0x10200,XN:X0=0,XT:X9=0x100000800010001,Dtype:B32,Id:1460"
BAR,290686176,ALL,2,74,0.040000,"PIPE:ALL"
VCONV,290686172,VECTOR,2,70,0.040000,"XD:X2=0x18280,XN:X25=0x10200,XT:X8=0x100080400010001,Conv_type:F32_F16R,Id:6260"
ADD,290685720,SCALAR,64,64,0.040000,"dtype:S64,XD:X8=0x10080,XN:X8=0,XM:X12=0x10080,"
SHL,290685716,SCALAR,64,64,0.040000,"dtype:B64,XD:X8=0,DATA_SRC:IMM,IMM:0x2,"
MOV_XD_SPR,290685768,SCALAR,64,64,0.040000,"XD:X10=0,SPR:CTRL,"
AND,290685724,SCALAR,64,64,0.040000,"dtype:B64,XD:X11=0x80000,XN:X22=0x80000,XM:X29=0xfffffffffffffffc,"
ADD_IMM,290686112,SCALAR,64,64,0.040000,"dtype:S64,XD:X27=0x1,XN:X27=0,IMM:0x1,"
ZEROEXT,290685780,SCALAR,64,64,0.040000,"dtype:U32,XD:X11=0x10200,XN:X11=0x10200,"
ADD,290685732,SCALAR,64,64,0.040000,"dtype:S64,XD:X8=0x90080,XN:X8=0x10080,XM:X11=0x80000,"
WAIT_FLAG,290685736,SCALAR,64,64,0.040000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:7,"
